"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Armeria maritima (Mill.) Willd. ssp. maritima";"Gazon d'Olympe maritime";"Armeria maritima (Mill.) Willd., 1809 subsp. maritima";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"131662"
"";"Astragalus glycyphyllos L.";"Réglisse sauvage";"Astragalus glycyphyllos L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"84843"
"";"Avenula pratensis (L.) Dum.";"Avoine des prés";"Helictochloa pratensis (L.) Romero Zarco, 2011 subsp. pratensis";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"718359"
"";"Avenula pratensis (L.) Dum.";"Avoine des prés";"Helictochloa pratensis subsp. amethystea (Braun-Blanq.) Romero Zarco, 2011";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"718233"
"";"Avenula pratensis (L.) Dum.";"Avoine des prés";"Helictochloa pratensis subsp. iberica (St.-Yves) Romero Zarco, 2011";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"718234"
"";"Avenula pratensis (L.) Dum.";"Avoine des prés";"Helictochloa pratensis (L.) Romero Zarco, 2011";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"717224"
"";"Baldellia ranunculoides (L.) Parl.";"Flûteau fausse-renoncule";"Baldellia ranunculoides (L.) Parl., 1854";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"85486"
"";"Botrychium lunaria (L.) Swartz";"Botryche lunaire";"Botrychium lunaria (L.) Sw., 1801 var. lunaria";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"970780"
"";"Botrychium lunaria (L.) Swartz";"Botryche lunaire";"Botrychium lunaria (L.) Sw., 1801";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"86183"
"";"Bupleurum falcatum L.";"Buplèvre en faux";"Bupleurum falcatum L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"87044"
