ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;GROUPE_GRAND_PUBLIC;
"40";"12377";"12377";"Xylotrechus arvicola (Olivier, 1795)";"(Olivier, 1800)";"";"";"ES";"Cerambycidae";"";"";"LC";"";"";"2023.1";"";"LC";"2010";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"40";"12378";"12378";"Xylotrechus rusticus (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Cerambycidae";"";"";"LC";"";"";"2023.1";"";"LC";"2010";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"40";"367329";"367329";"Xyrichtys novacula (Linnaeus, 1758)";"(Linnaeus, 1758)";"";"";"ES";"Labridae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2015";"Liste rouge européenne des espèces menacées";"Poissons";
"40";"268437";"268437";"Yersinella beybienkoi La Greca, 1974";"La Greca, 1974";"";"";"ES";"Tettigoniidae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2016";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"40";"65752";"65752";"Yersinella raymondii (Yersin, 1860)";"(Yersin, 1860)";"";"";"ES";"Tettigoniidae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2016";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"40";"444446";"444446";"Zamenis longissimus (Laurenti, 1768)";"(Laurenti, 1768)";"";"";"ES";"Colubridae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2009";"Liste rouge européenne des espèces menacées";"Amphibiens et reptiles";
"40";"819820";"819820";"Zamenis scalaris (Schinz, 1822)";"(Schinz, 1822)";"";"";"ES";"Colubridae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2009";"Liste rouge européenne des espèces menacées";"Amphibiens et reptiles";
"40";"130599";"130599";"Zannichellia palustris L.";"L., 1753";"";"";"ES";"Potamogetonaceae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"40";"130602";"130602";"Zannichellia peltata Bertol.";"Bertol., 1855";"";"";"ES";"Potamogetonaceae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2011";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"40";"836245";"836245";"Zapornia parva (Scopoli, 1769)";"(Scopoli, 1769)";"";"";"ES";"Rallidae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"40";"836246";"836246";"Zapornia pusilla (Pallas, 1776)";"(Pallas, 1776)";"";"";"ES";"Rallidae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2021";"Liste rouge européenne des espèces menacées";"Oiseaux";
"40";"912088";"912088";"Zarateana arganica (Servain, 1880)";"(Servain, 1880)";"";"";"ES";"Geomitridae";"";"";"LC";"";"";"2023.1";"LC";"LC";"2011";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
"40";"199907";"199907";"Zebrina detrita (O.F. Müller, 1774)";"(O.F. Müller, 1774)";"";"";"ES";"Enidae";"";"";"LC";"";"";"2023.1";"";"LC";"2017";"Liste rouge européenne des espèces menacées";"Escargots et autres mollusques";
