CDNOM;FAMILLE;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
219818;Nymphalidae;Boloria dia (Linnaeus, 1767);Petite Violette;NT;pr. B2b(iii);LC ;LC 
219826;Pieridae;Colias alfacariensis Ribbe, 1905;Fluoré;NT;pr. B2b(iii);LC ;LC 
54029;Lycaenidae;Cupido minimus (Fuessly, 1775);Argus frêle;NT;pr. B2b(iii);LC ;LC 
54213;Lycaenidae;Cyaniris semiargus (Rottemburg, 1775);Demi-Argus;NT;pr. B2b(iii);LC ;LC 
53307;Hesperiidae;Erynnis tages (Linnaeus, 1758);Point de Hongrie;NT;pr. B2b(iii);LC ;LC 
54271;Lycaenidae;Lysandra bellargus (Rottemburg, 1775);Bel-Argus;NT;pr. B2b(iii);LC ;LC 
54265;Lycaenidae;Lysandra coridon (Poda, 1761);Argus bleu-nacré ;NT;pr. B2b(iii);LC ;LC 
608364;Nymphalidae;Aglais io (Linnaeus, 1758);Paon-du-jour;LC;-;LC ;LC 
53754;Nymphalidae;Aglais urticae (Linnaeus, 1758);Petite Tortue;LC;-;LC ;LC 
54451;Pieridae;Anthocharis cardamines (Linnaeus, 1758);Aurore;LC;-;LC ;LC 
219799;Nymphalidae;Aphantopus hyperantus (Linnaeus, 1758);Tristan;LC;-;LC ;LC 
53724;Nymphalidae;Araschnia levana (Linnaeus, 1758);Carte géographique;LC;-;LC ;LC 
53878;Nymphalidae;Argynnis paphia (Linnaeus, 1758);Tabac d'Espagne;LC;-;LC ;LC 
521494;Lycaenidae;Aricia agestis (Denis & Schiffermuller, 1775);Collier-de-corail ;LC;-;LC ;LC 
646236;Nymphalidae;Brenthis daphne (Denis & Schiffermuller, 1775);Nacré de la Ronce;LC;-;LC ;LC 
54307;Lycaenidae;Callophrys rubi (Linnaeus, 1758);Thécla de la Ronce;LC;-;LC ;LC 
