"";"Nom de référence";"Nom vernaculaire";"Statut*";"Règne";"Classe";"Ordre";"Famille";"CD_REF";"CD_NOM";
"";"Ctenarytaina eucalypti (Maskell, 1890)";"Psylle de l'eucalyptus";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Psyllidae";"220385";"220385"
"";"Cydalima perspectalis (Walker, 1859)";"Pyrale du buis";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Crambidae";"645061";"645061"
"";"Cyprinus carpio Linnaeus, 1758";"Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille";"J";"Animalia (Animaux)";"Actinopterygii (Actinopterygiens, Poissons actinoptérygiens)";"Cypriniformes";"Cyprinidae (Carpes)";"67058";"67058"
"";"Dasysiphonia japonica (Yendo) H.-S.Kim, 2012";"Hétérosiphonie du Japon";"J";"Plantae (Plantes)";"Florideophyceae";"Ceramiales";"Dasyaceae";"813752";"813752"
"";"Dendrocoelum romanodanubiale (Codreanu, 1949)";"";"J";"Animalia (Animaux)";" -";"Tricladida";"Dendrocoelidae";"969602";"969602"
"";"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011";"Loche vagabonde";"J";"Animalia (Animaux)";"Gastropoda (Gastéropodes)";"Stylommatophora";"Agriolimacidae";"782405";"782405"
"";"Desdemona ornata Banse, 1957";"";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Sabellida";"Sabellidae";"371491";"371491"
"";"Diabrotica virgifera virgifera LeConte, 1868";"Chrysomèle des racines du maïs";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Coleoptera (Coléoptères)";"Chrysomelidae (Chrysomèles)";"322540";"322540"
"";"Diabrotica virgifera LeConte, 1868";"Chrysomèle des racines du maïs";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Coleoptera (Coléoptères)";"Chrysomelidae (Chrysomèles)";"322539";"322539"
"";"Diadesmis confervacea Kütz., 1844";"";"J";"Chromista (Chromistes, Lignée brune)";"Bacillariophyceae (Diatomées)";"Naviculales";"Diadesmidaceae";"657916";"657916"
"";"Didemnum vexillum Kott, 2002";"Tunicier didemnum, Didemne étendard";"J";"Animalia (Animaux)";"Ascidiacea (Ascidies)";"Aplousobranchia";"Didemnidae";"790708";"790708"
"";"Diplopseustis perieresalis (Walker, 1859)";"Hydrocampe de Perieres";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Crambidae";"779482";"779482"
"";"Dreissena polymorpha polymorpha (Pallas, 1771)";"Moule zébrée";"J";"Animalia (Animaux)";"Bivalvia (Bivalves)";"Myida";"Dreissenidae";"163458";"163458"
"";"Dreissena polymorpha (Pallas, 1771)";"Moule zébrée";"J";"Animalia (Animaux)";"Bivalvia (Bivalves)";"Myida";"Dreissenidae";"64629";"64629"
"";"Drosophila suzukii (Matsumura, 1931)";"Drosophile à ailes tachetées, Drosophile du cerisier, Moucheron asiatique, Drosophile asiatique, Drosophile japonaise";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Diptera (Mouches, Moustiques, Cousins)";"Drosophilidae (Drosophiles)";"701921";"701921"
"";"Egeria densa Planch., 1849";"Égérie dense, Élodée dense";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Hydrocharitaceae (Hydrocharitacées)";"95823";"95823"
"";"Eleocharis obtusa (Willd.) Schult., 1824";"Éléocharide obtuse, Éléocharis obtus";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Poales (Poales)";"Cyperaceae (Cypéracées)";"788821";"788821"
"";"Elodea callitrichoides (Rich.) Casp., 1857";"Élodée faux callitriche, Élodée à feuilles allongées";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Hydrocharitaceae (Hydrocharitacées)";"95979";"95979"
"";"Elodea canadensis Michx., 1803";"Élodée du Canada";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Hydrocharitaceae (Hydrocharitacées)";"95980";"95980"
"";"Elodea nuttallii (Planch.) H.St.John, 1920";"Élodée de Nuttall, Élodée à feuilles étroites";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Hydrocharitaceae (Hydrocharitacées)";"95983";"95983"
"";"Encyonema triangulum (Ehrenberg) Kütz., 1849";"";"J";"Chromista (Chromistes, Lignée brune)";"Bacillariophyceae (Diatomées)";"Cymbellales";"Cymbellaceae";"655654";"655654"
"";"Ensis leei M. Huber, 2015";"Couteau américain, Couteau étroit";"J";"Animalia (Animaux)";"Bivalvia (Bivalves)";"Adapedonta";"Pharidae";"885584";"885584"
"";"Epiphyas postvittana (Walker, 1863)";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Tortricidae (Tordeuses)";"343531";"343531"
"";"Etiella zinckenella (Treitschke, 1832)";"Pyrale du haricot vert";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Pyralidae";"248015";"248015"
"";"Faxonius limosus (Rafinesque, 1817)";"Écrevisse américaine (L')";"J";"Animalia (Animaux)";"Malacostraca (Malacostracés)";"Decapoda (Décapodes)";"Cambaridae";"853999";"853999"
"";"Ficopomatus enigmaticus (Fauvel, 1923)";"Mercierelle";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Sabellida";"Serpulidae";"366400";"366400"
"";"Fistularia commersonii Rüppell, 1838";"Trompette";"J";"Animalia (Animaux)";"Actinopterygii (Actinopterygiens, Poissons actinoptérygiens)";"Syngnathiformes (Hippocampes)";"Fistulariidae";"424218";"424218"
"";"Grateloupia turuturu Yamada, 1941";"Grateloupe du Pacifique";"J";"Plantae (Plantes)";"Florideophyceae";"Halymeniales";"Halymeniaceae";"627497";"627497"
"";"Hakea decurrens R.Br., 1830";"Hakéa décurrent";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Proteales (Protéales)";"Proteaceae (Protéacées)";"1002319";"1002319"
"";"Halophila stipulacea (Forssk.) Asch., 1867";"Halophile stipulée";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Alismatales (Alismatales)";"Hydrocharitaceae (Hydrocharitacées)";"368620";"368620"
"";"Halyomorpha halys (Stål, 1855)";"Punaise diabolique";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Pentatomidae";"720069";"720069"
"";"Harmonia axyridis (Pallas, 1773)";"Coccinelle asiatique (la), Coccinelle arlequin (La)";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Coleoptera (Coléoptères)";"Coccinellidae (Coccinelles)";"459325";"459325"
"";"Helianthus tuberosus L., 1753";"Hélianthe tubéreux, Topinambour, Patate de Virginie";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Asterales (Astérales)";"Asteraceae (Astéracées)";"101055";"101055"
"";"Hemigrapsus sanguineus (De Haan, 1835)";"Crabe sanguin (Le), Crabe japonais (Le)";"J";"Animalia (Animaux)";"Malacostraca (Malacostracés)";"Decapoda (Décapodes)";"Varunidae";"593842";"593842"
"";"Hemigrapsus takanoi Asakura & Watanabe, 2005";"Crabe à pinceaux (Le)";"J";"Animalia (Animaux)";"Malacostraca (Malacostracés)";"Decapoda (Décapodes)";"Varunidae";"593844";"593844"
"";"Heracleum mantegazzianum Sommier & Levier, 1895";"Berce du Caucase, Berce de Mantegazzi";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Apiales (Apiales)";"Apiaceae (Apiacées)";"101286";"101286"
"";"Hishimonus diffractus Dai, Fletcher & Zhang, 2013";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Cicadellidae (Cicadelles)";"1012277";"1012277"
"";"Hishimonus hamatus Kuoh, 1976";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Cicadellidae (Cicadelles)";"989583";"989583"
"";"Humbertium covidum Justine, Gastineau, Gros, Gey, Ruzzier, Charles & Winsor, 2022";"";"J";"Animalia (Animaux)";" -";"Tricladida";"Geoplanidae";"1006268";"1006268"
"";"Hydrocotyle ranunculoides L.f., 1782";"Hydrocotyle fausse renoncule, Hydrocotyle à feuilles de Renoncule";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Apiales (Apiales)";"Araliaceae (Araliacées)";"103139";"103139"
"";"Hydroides dianthus (Verrill, 1873)";"";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Sabellida";"Serpulidae";"362064";"362064"
"";"Hydroides elegans (Haswell, 1883)";"";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Sabellida";"Serpulidae";"362059";"362059"
